Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1820,"Muyesaier Tudi, Huada Daniel Ruan, Li Wang, J. Lyu, R. Sadler, D. Connell, C. Chu, D. Phung","Agriculture Development, Pesticide Application and Its Impact on the Environment",2021,International Journal of Environmental Research and Public Health,,https://www.semanticscholar.org/paper/d1da853892ab1db2db040b43f4fd296d639c5636,,13,2026-01-21 18:54:00,Review,10.3390/ijerph18031112,1660-4601,,18.0,,,,1820,364.0,228,8,5,"Pesticides are indispensable in agricultural production. They have been used by farmers to control weeds and insects, and their remarkable increases in agricultural products have been reported. The increase in the world’s population in the 20th century could not have been possible without a parallel increase in food production. About one-third of agricultural products are produced depending on the application of pesticides. Without the use of pesticides, there would be a 78% loss of fruit production, a 54% loss of vegetable production, and a 32% loss of cereal production. Therefore, pesticides play a critical role in reducing diseases and increasing crop yields worldwide. Thus, it is essential to discuss the agricultural development process; the historical perspective, types and specific uses of pesticides; and pesticide behavior, its contamination, and adverse effects on the natural environment. The review study indicates that agricultural development has a long history in many places around the world. The history of pesticide use can be divided into three periods of time. Pesticides are classified by different classification terms such as chemical classes, functional groups, modes of action, and toxicity. Pesticides are used to kill pests and control weeds using chemical ingredients; hence, they can also be toxic to other organisms, including birds, fish, beneficial insects, and non-target plants, as well as air, water, soil, and crops. Moreover, pesticide contamination moves away from the target plants, resulting in environmental pollution. Such chemical residues impact human health through environmental and food contamination. In addition, climate change-related factors also impact on pesticide application and result in increased pesticide usage and pesticide pollution. Therefore, this review will provide the scientific information necessary for pesticide application and management in the future.",https://www.mdpi.com/1660-4601/18/3/1112/pdf?version=1611886950,
1955,"S. Díaz, J. Settele, Eduardo S Brondízio, H. Ngo, J. Agard, A. Arneth, P. Balvanera, K. Brauman, S. Butchart, K. Chan, L. Garibaldi, K. Ichii, Jianguo Liu, Suneetha M. Subramanian, G. Midgley, P. Miloslavich, Z. Mólnar, D. Obura, A. Pfaff, S. Polasky, A. Purvis, J. Razzaque, B. Reyers, R. R. Chowdhury, Y. Shin, I. Visseren-Hamakers, K. Willis, Cynthia N. Zayas",Pervasive human-driven decline of life on Earth points to the need for transformative change,2019,Science,,https://www.semanticscholar.org/paper/23ac3b64e449fd675eb4cd313912930e36ee8384,,11,2026-01-21 18:54:00,Review,10.1126/science.aax3100,0193-4511,,366.0,,,,1955,279.29,196,28,7,"The time is now For decades, scientists have been raising calls for societal changes that will reduce our impacts on nature. Though much conservation has occurred, our natural environment continues to decline under the weight of our consumption. Humanity depends directly on the output of nature; thus, this decline will affect us, just as it does the other species with which we share this world. Díaz et al. review the findings of the largest assessment of the state of nature conducted as of yet. They report that the state of nature, and the state of the equitable distribution of nature's support, is in serious decline. Only immediate transformation of global business-as-usual economies and operations will sustain nature as we know it, and us, into the future. Science, this issue p. eaax3100 BACKGROUND Human actions have long been known to drive declines in nature, and there is growing awareness of how globalization means that these drivers increasingly act at a distance (telecoupling). However, evidence from different disciplines has largely accumulated in parallel, and the global effects of telecouplings have never been addressed comprehensively. Now, the first integrated global-scale intergovernmental assessment of the status, trends, and future of the links between people and nature provides an unprecedented picture of the extent of our mutual dependence, the breadth and depth of the ongoing and impending crisis, and the interconnectedness among sectors and regions. ADVANCES Human impacts on life on Earth have increased sharply since the 1970s. The world is increasingly managed to maximize the flow of material contributions from nature to keep up with rising demands for food, energy, timber, and more, with global trade increasing the geographic separation between supply and demand. This unparalleled appropriation of nature is causing the fabric of life on which humanity depends to fray and unravel: Most indicators of the state of nature, whether monitored by natural and social scientists or by Indigenous Peoples and local communities, are declining. These include the number and population size of wild species, the number of local varieties of domesticated species, the distinctness of ecological communities, and the extent and integrity of many terrestrial and aquatic ecosystems. As a consequence, nature’s capacity to provide crucial benefits has also declined, including environmental processes underpinning human health and nonmaterial contributions to human quality of life. The costs are distributed unequally, as are the benefits of an expanding global economy. These trends in nature and its contributions to people are projected to worsen in the coming decades—unevenly so among different regions—unless rapid and integrated action is taken to reduce the direct drivers responsible for most change over the past 50 years: land and sea use change, direct harvesting of many plants and animals, climate change (whose impacts are set to accelerate), pollution, and the spread of invasive alien species. Exploratory scenarios suggest that a world with increased regional barriers—resonating with recent geopolitical trends—will yield more negative global trends in nature, as well as the greatest disparity in trends across regions, greater than a world with liberal financial markets, and much greater than one that prioritizes and integrates actions toward sustainable development. Evidence from target-seeking scenarios and pathways indicates that a world that achieves many of the global biodiversity targets and sustainability goals related to food, energy, climate, and water is not—yet—beyond reach, but that no single action can get us there. OUTLOOK Our comprehensive assessment of status, trends, and possible futures for nature and people suggests that action at the level of direct drivers of nature decline, although necessary, is not sufficient to prevent further deterioration of the fabric of life on Earth. Reversal of recent declines—and a sustainable global future—are only possible with urgent transformative change that tackles the root causes: the interconnected economic, sociocultural, demographic, political, institutional, and technological indirect drivers behind the direct drivers. As well as a pan-sectoral approach to conserving and restoring the nature that underpins many goals, this transformation will need innovative governance approaches that are adaptive; inclusive; informed by existing and new evidence; and integrative across systems, jurisdictions, and tools. Although the challenge is formidable, every delay will make the task even harder. Crucially, our analysis pinpoints five priority interventions (“levers”) and eight leverage points for intervention in the indirect drivers of global social and economic systems where they can make the biggest difference. Traditional diversity-rich human landscapes, and the livelihoods and identities that depend on them, face global threats. Mosaics of crops, forest, and pasture have been maintained for millennia around the world. Now, they are under increasing threat from climate change and large-scale land use change to accommodate global demands for commodities. So are the livelihoods and cultural identity of the peoples that live in them, such as this woman collecting fodder for her flock in the Checacupe district, Perú. Photo credit www.estebantapella.com The human impact on life on Earth has increased sharply since the 1970s, driven by the demands of a growing population with rising average per capita income. Nature is currently supplying more materials than ever before, but this has come at the high cost of unprecedented global declines in the extent and integrity of ecosystems, distinctness of local ecological communities, abundance and number of wild species, and the number of local domesticated varieties. Such changes reduce vital benefits that people receive from nature and threaten the quality of life of future generations. Both the benefits of an expanding economy and the costs of reducing nature’s benefits are unequally distributed. The fabric of life on which we all depend—nature and its contributions to people—is unravelling rapidly. Despite the severity of the threats and lack of enough progress in tackling them to date, opportunities exist to change future trajectories through transformative action. Such action must begin immediately, however, and address the root economic, social, and technological causes of nature’s deterioration.",https://science.sciencemag.org/content/sci/366/6471/eaax3100.full.pdf,
452,"P. R, Subha P, Bhuvaneswari M, P. V., Roshini K",IoT Based Soil pH Detection and Crop Recommendation System,2024,International Journal of Innovative Science and Research Technology (IJISRT),,https://www.semanticscholar.org/paper/bc77b9e5d2937352fa3eac0bf06079450fb3f04f,,219,2026-01-21 18:54:00,JournalArticle,10.38124/ijisrt/ijisrt24apr532,2456-2165,,,,,,452,226.0,90,5,2,"Agricultural productivity hinges on soil fertility, influenced by key factors like nitrogen, phosphorus, potassium, pH level, and soil moisture. Yet, achieving optimal crop growth is challenging due to limited farmer knowledge and difficulties in determining precise fertilizer quantities. Conventional soil analysis methods involve manual sampling andcostly lab tests, which are subjective. To address this, aproposed solution integrates IoT-enabled soil nutrient monitoring with machine learning algorithms for croprecommendations. Sensors collect data on crucial parameters like nitrogen, phosphorus, and soil temperature, transmitting it to a cloud-based database. Machine learning analyzes this data to suggest ideal crops, minimizing fertilizer use, reducing labor, and enhancing overall productivity. This innovative approach streamlines crop selection, minimizing unnecessary inputs while maximizing yields. By harnessing IoT and machine learning, farmers gain valuable insights into soil health, enabling precise fertilization and crop selection. This not only boosts agricultural productivity but also contributes to economic growth by fostering sustainable practices andincreased yields.",https://doi.org/10.38124/ijisrt/ijisrt24apr532,
1614,"H. Godfray, P. Aveyard, Tara Garnett, Tara Garnett, Jim W. Hall, Jim W. Hall, Timothy J. Key, Timothy J. Key, Jamie Lorimer, R. Pierrehumbert, P. Scarborough, M. Springmann, S. Jebb","Meat consumption, health, and the environment",2018,Science,,https://www.semanticscholar.org/paper/6e26bcde4511becf0846909748038e98babef180,,16,2026-01-21 18:54:00,Review,10.1126/science.aam5324,0193-4511,,361.0,,,,1614,201.75,161,13,8,"The future of meat Meat consumption is rising annually as human populations grow and affluence increases. Godfray et al. review this trend, which has major negative consequences for land and water use and environmental change. Although meat is a concentrated source of nutrients for low-income families, it also enhances the risks of chronic ill health, such as from colorectal cancer and cardiovascular disease. Changing meat consumption habits is a challenge that requires identifying the complex social factors associated with meat eating and developing policies for effective interventions. Science, this issue p. eaam5324 BACKGROUND The global average per capita consumption of meat and the total amount of meat consumed are rising (see the figure), driven by increasing average individual incomes and by population growth. Growth rates vary across different regions, with consumption in high-income countries static or declining and in middle-income countries moderately to strongly increasing, whereas in low-income countries, meat consumption is on average low and stable. There has been a particularly marked increase in the global consumption of chicken and pork. The consumption of different types of meat and meat products has substantial effects on people’s health, and livestock production can have major negative effects on the environment. ADVANCES Meat is a good source of energy and some essential nutrients—including protein and micronutrients such as iron, zinc, and vitamin B12—although it is possible to obtain a sufficient intake of these nutrients without eating meat if a wide variety of other foods is available and consumed. In high-income Western countries, large prospective studies and meta-analyses generally show that total mortality rates are modestly higher in participants who have high intakes of red and processed meat. The strongest evidence of a specific adverse effect is the increased risk of colorectal cancer with high intakes of processed meat. Meat produces more emissions per unit of energy compared with that of plant-based foods because energy is lost at each trophic level. Within types of meat, ruminant production usually leads to more emissions than that of nonruminant mammals, and poultry production usually leads to less emissions than that of mammals. Meat production is the single most important source of methane, which has a relatively high warming potential but a low half-life in the environment compared with that of CO2. Careful management of grassland systems can contribute to carbon storage, but the net benefits are likely to be relatively modest. Agriculture uses more freshwater than any other human activity, with nearly a third required for livestock, so meat production in water-stressed areas is a major competitor with other uses of water, including that required to maintain natural ecosystems. Meat production can be an important source of nitrogen, phosphorus, and other pollutants and affects biodiversity—in particular, through land conversion to pasture and arable feed crops. OUTLOOK Governments act to shape food systems for economic purposes and to protect health from contaminated food. But there is less agreement over the degree to which the state should use health, environmental, or animal welfare considerations to control the supply of meat through interventions that affect the production, sale, processing, and distribution of meat and meat products or the price to the consumer. If we are to shape consumer demand, more evidence is needed about the effectiveness of different interventions to influence food selection. This may include interventions that affect either the conscious, reflective decision-making systems or nonconscious, automatic processes. Potential interventions within the rational choice paradigm include labeling schemes (based on health or environmental criteria) and certification programs (based on welfare or environmental considerations) or fiscal interventions (such as so-called fat taxes). Alternatively, the largely automatic responses to environmental cues that affect purchase and consumption behaviors can be manipulated by changes to the food environment, in retail and food consumption settings. History suggests that change in dietary behaviors in response to interventions is slow. But social norms can and do change, and this process can be aided by the coordinated efforts of civil society, health organizations, and government. However, successful interventions to improve health and environmental objectives are likely to require a good understanding of the impact of meat consumption on these outcomes, as well as a license from society for governments and other bodies to implement a suite of interventions to stimulate change. Total consumption of meat (in million metric tons) in different regions and (inset) globally. [Data are from www.fao.org/faostat/en/?#data.] Both the global average per capita consumption of meat and the total amount of meat consumed are rising, driven by increasing average individual incomes and by population growth. The consumption of different types of meat and meat products has substantial effects on people’s health, and livestock production can have major negative effects on the environment. Here, we explore the evidence base for these assertions and the options policy-makers have should they wish to intervene to affect population meat consumption. We highlight where more research is required and the great importance of integrating insights from the natural and social sciences.",https://science.sciencemag.org/content/sci/361/6399/eaam5324.full.pdf,
1098,"An Yan, Yamin Wang, S. Tan, Mohamed Lokman Mohd Yusof, Subhadip Ghosh, Zhong Chen",Phytoremediation: A Promising Approach for Revegetation of Heavy Metal-Polluted Land,2020,Frontiers in Plant Science,,https://www.semanticscholar.org/paper/0dcc8f09ab8c52e7706cdeb600641ee30fa123da,,37,2026-01-21 18:54:00,Review,10.3389/fpls.2020.00359,1664-462X,,11.0,,,,1098,183.0,183,6,6,"Heavy metal accumulation in soil has been rapidly increased due to various natural processes and anthropogenic (industrial) activities. As heavy metals are non-biodegradable, they persist in the environment, have potential to enter the food chain through crop plants, and eventually may accumulate in the human body through biomagnification. Owing to their toxic nature, heavy metal contamination has posed a serious threat to human health and the ecosystem. Therefore, remediation of land contamination is of paramount importance. Phytoremediation is an eco-friendly approach that could be a successful mitigation measure to revegetate heavy metal-polluted soil in a cost-effective way. To improve the efficiency of phytoremediation, a better understanding of the mechanisms underlying heavy metal accumulation and tolerance in plant is indispensable. In this review, we describe the mechanisms of how heavy metals are taken up, translocated, and detoxified in plants. We focus on the strategies applied to improve the efficiency of phytostabilization and phytoextraction, including the application of genetic engineering, microbe-assisted and chelate-assisted approaches.",https://www.frontiersin.org/articles/10.3389/fpls.2020.00359/pdf,
1093,"M. Eskola, G. Kos, C. Elliott, J. Hajšlová, Sultan Mayar, R. Krska",Worldwide contamination of food-crops with mycotoxins: Validity of the widely cited ‘FAO estimate’ of 25%,2019,Critical Reviews in Food Science and Nutrition,,https://www.semanticscholar.org/paper/9aea3749affe967e194ae372c51d9c71ab2b2bee,,38,2026-01-21 18:54:00,JournalArticle,10.1080/10408398.2019.1658570,1040-8398,,60.0,,2773.0,2789.0,1093,156.14,182,6,7,"Abstract Prior to 1985 the Food and Agriculture Organization (FAO) estimated global food crop contamination with mycotoxins to be 25%. The origin of this statement is largely unknown. To assess the rationale for it, the relevant literature was reviewed and data of around 500,000 analyses from the European Food Safety Authority and large global survey for aflatoxins, fumonisins, deoxynivalenol, T-2 and HT-2 toxins, zearalenone and ochratoxin A in cereals and nuts were examined. Using different thresholds, i.e. limit of detection, the lower and upper regulatory limits of European Union (EU) legislation and Codex Alimentarius standards, the mycotoxin occurrence was estimated. Impact of different aspects on uncertainty of the occurrence estimates presented in literature and related to our results are critically discussed. Current mycotoxin occurrence above the EU and Codex limits appears to confirm the FAO 25% estimate, while this figure greatly underestimates the occurrence above the detectable levels (up to 60–80%). The high occurrence is likely explained by a combination of the improved sensitivity of analytical methods and impact of climate change. It is of immense importance that the detectable levels are not overlooked as through diets, humans are exposed to mycotoxin mixtures which can induce combined adverse health effects.",https://www.tandfonline.com/doi/pdf/10.1080/10408398.2019.1658570?needAccess=true,
1491,C. Benbrook,Trends in glyphosate herbicide use in the United States and globally,2016,Environmental Sciences Europe,,https://www.semanticscholar.org/paper/f106c99944f33af6f05ee2756912bd14d66e12a3,,19,2026-01-21 18:54:00,JournalArticle,10.1186/s12302-016-0070-0,2190-4715,,28.0,,,,1491,149.1,1491,1,10,"BackgroundAccurate pesticide use data are essential when studying the environmental and public health impacts of pesticide use. Since the mid-1990s, significant changes have occurred in when and how glyphosate herbicides are applied, and there has been a dramatic increase in the total volume applied.MethodsData on glyphosate applications were collected from multiple sources and integrated into a dataset spanning agricultural, non-agricultural, and total glyphosate use from 1974–2014 in the United States, and from 1994–2014 globally.ResultsSince 1974 in the U.S., over 1.6 billion kilograms of glyphosate active ingredient have been applied, or 19 % of estimated global use of glyphosate (8.6 billion kilograms). Globally, glyphosate use has risen almost 15-fold since so-called “Roundup Ready,” genetically engineered glyphosate-tolerant crops were introduced in 1996. Two-thirds of the total volume of glyphosate applied in the U.S. from 1974 to 2014 has been sprayed in just the last 10 years. The corresponding share globally is 72 %. In 2014, farmers sprayed enough glyphosate to apply ~1.0 kg/ha (0.8 pound/acre) on every hectare of U.S.-cultivated cropland and nearly 0.53 kg/ha (0.47 pounds/acre) on all cropland worldwide.ConclusionsGenetically engineered herbicide-tolerant crops now account for about 56 % of global glyphosate use. In the U.S., no pesticide has come remotely close to such intensive and widespread use. This is likely the case globally, but published global pesticide use data are sparse. Glyphosate will likely remain the most widely applied pesticide worldwide for years to come, and interest will grow in quantifying ecological and human health impacts. Accurate, accessible time-series data on glyphosate use will accelerate research progress.",https://doi.org/10.1186/s12302-016-0070-0,
1333,F. Carvalho,"Pesticides, environment, and food safety",2017,Food and Energy Security,,https://www.semanticscholar.org/paper/e5b62208f958d4dff7a79f3beb6b3329327981d8,,25,2026-01-21 18:54:00,Review,10.1002/FES3.108,,,6.0,,48.0,60.0,1333,148.11,1333,1,9,"Agrochemicals have enabled to more than duplicate food production during the last century, and the current need to increase food production to feed a rapid growing human population maintains pressure on the intensive use of pesticides and fertilizers. However, worldwide surveys have documented the contamination and impact of agrochemical residues in soils, and terrestrial and aquatic ecosystems including coastal marine systems, and their toxic effects on humans and nonhuman biota. Although persistent organic chemicals have been phased out and replaced by more biodegradable chemicals, contamination by legacy residues and recent residues still impacts on the quality of human food, water, and environment. Current and future increase in food production must go along with production of food with better quality and with less toxic contaminants. Alternative paths to the intensive use of crop protection chemicals are open, such as genetically engineered organisms, organic farming, change of dietary habits, and development of food technologies. Agro industries need to further develop advanced practices to protect public health, which requires more cautious use of agrochemicals through prior testing, careful risk assessment, and licensing, but also through education of farmers and users in general, measures for better protection of ecosystems, and good practices for sustainable development of agriculture, fisheries, and aquaculture. Enhanced scientific research for new developments in food production and food safety, as well as for environmental protection, is a necessary part of this endeavor. Furthermore, worldwide agreement on good agriculture practices, including development of genetically modified organisms (GMOs) and their release for international agriculture, may be urgent to ensure the success of safe food production.",https://doi.org/10.1002/fes3.108,
441,"A. Rashid, B. Schutte, A. Ulery, M. Deyholos, S. Sanogo, E. Lehnhoff, L. Beck",Heavy Metal Contamination in Agricultural Soil: Environmental Pollutants Affecting Crop Health,2023,Agronomy,,https://www.semanticscholar.org/paper/8298d0316b29a2fc2ddc34af029d26a97b4c6570,,229,2026-01-21 18:54:00,JournalArticle,10.3390/agronomy13061521,2073-4395,,,,,,441,147.0,63,7,3,"Heavy metals and metalloids (HMs) are environmental pollutants, most notably cadmium, lead, arsenic, mercury, and chromium. When HMs accumulate to toxic levels in agricultural soils, these non-biodegradable elements adversely affect crop health and productivity. The toxicity of HMs on crops depends upon factors including crop type, growth condition, and developmental stage; nature of toxicity of the specific elements involved; soil physical and chemical properties; occurrence and bioavailability of HM ions in the soil solution; and soil rhizosphere chemistry. HMs can disrupt the normal structure and function of cellular components and impede various metabolic and developmental processes. This review evaluates: (1) HM contamination in arable lands through agricultural practices, particularly due to chemical fertilizers, pesticides, livestock manures and compost, sewage-sludge-based biosolids, and irrigation; (2) factors affecting the bioavailability of HM elements in the soil solution, and their absorption, translocation, and bioaccumulation in crop plants; (3) mechanisms by which HM elements directly interfere with the physiological, biochemical, and molecular processes in plants, with particular emphasis on the generation of oxidative stress, the inhibition of photosynthetic phosphorylation, enzyme/protein inactivation, genetic modifications, and hormonal deregulation, and indirectly through the inhibition of soil microbial growth, proliferation, and diversity; and (4) visual symptoms of highly toxic non-essential HM elements in plants, with an emphasis on crop plants. Finally, suggestions and recommendations are made to minimize crop losses from suspected HM contamination in agricultural soils.",https://www.mdpi.com/2073-4395/13/6/1521/pdf?version=1686540836,
436,"Baojing Gu, Xiuming Zhang, S. Lam, Yingliang Yu, Hans J. M. van Grinsven, Shaohui Zhang, Xiaoxi Wang, B. Bodirsky, Si-Qi Wang, Jia‐Zhen Duan, Chenchen Ren, L. Bouwman, W. de Vries, Jianming Xu, M. Sutton, Deli Chen",Cost-effective mitigation of nitrogen pollution from global croplands,2023,Nature,,https://www.semanticscholar.org/paper/0c2ec0f62facc2b5e2a1a6da132c5829267b2d2e,,236,2026-01-21 18:54:00,JournalArticle,10.1038/s41586-022-05481-8,0028-0836,,613.0,,77.0,84.0,436,145.33,44,16,3,"A meta-analysis of 1,521 field observations from the past two decades led to the identification of 11 key measures to cost-effectively mitigate nitrogen pollution from global croplands. Cropland is a main source of global nitrogen pollution^ 1 , 2 . Mitigating nitrogen pollution from global croplands is a grand challenge because of the nature of non-point-source pollution from millions of farms and the constraints to implementing pollution-reduction measures, such as lack of financial resources and limited nitrogen-management knowledge of farmers^ 3 . Here we synthesize 1,521 field observations worldwide and identify 11 key measures that can reduce nitrogen losses from croplands to air and water by 30–70%, while increasing crop yield and nitrogen use efficiency (NUE) by 10–30% and 10–80%, respectively. Overall, adoption of this package of measures on global croplands would allow the production of 17 ± 3 Tg (10^12 g) more crop nitrogen (20% increase) with 22 ± 4 Tg less nitrogen fertilizer used (21% reduction) and 26 ± 5 Tg less nitrogen pollution (32% reduction) to the environment for the considered base year of 2015. These changes could gain a global societal benefit of 476 ± 123 billion US dollars (USD) for food supply, human health, ecosystems and climate, with net mitigation costs of only 19 ± 5 billion USD, of which 15 ± 4 billion USD fertilizer saving offsets 44% of the gross mitigation cost. To mitigate nitrogen pollution from croplands in the future, innovative policies such as a nitrogen credit system (NCS) could be implemented to select, incentivize and, where necessary, subsidize the adoption of these measures.",https://www.nature.com/articles/s41586-022-05481-8.pdf,
